stid,variable_pattern,lo,hi,season
NUK_K,p_[ul],877.96,958.79,
NUK_K,p_i,-122.04,-41.21,
NUK_K,wspd_[uli],-12.00,24.74,
NUK_K,t_[uli],-34.22,11.27,winter
NUK_K,t_[uli],-33.10,16.28,spring
NUK_K,t_[uli],-12.57,21.40,summer
NUK_K,t_[uli],-27.04,15.72,fall
SWC_O,p_[ul],831.20,909.80,
SWC_O,p_i,-168.80,-90.20,
SWC_O,wspd_[uli],-11.68,30.80,
SWC_O,t_[uli],-49.84,6.70,winter
SWC_O,t_[uli],-36.90,9.20,spring
SWC_O,t_[uli],-20.90,13.40,summer
SWC_O,t_[uli],-36.82,12.00,fall
KPC_L,p_[ul],924.86,1006.19,
KPC_L,p_i,-75.14,6.19,
KPC_L,wspd_[uli],-11.89,29.23,
KPC_L,t_[uli],-45.45,2.16,winter
KPC_L,t_[uli],-44.70,9.46,spring
KPC_L,t_[uli],-16.81,16.08,summer
KPC_L,t_[uli],-39.66,9.46,fall
EGP,p_[ul],675.50,752.80,
EGP,p_i,-324.50,-247.20,
EGP,wspd_[uli],-12.00,24.10,
EGP,t_[uli],-69.45,-10.18,winter
EGP,t_[uli],-66.58,1.41,spring
EGP,t_[uli],-37.66,8.45,summer
EGP,t_[uli],-62.60,4.00,fall
CEN2,p_[ul],762.74,826.00,
CEN2,p_i,-237.26,-174.00,
CEN2,wspd_[uli],-12.00,26.81,
CEN2,t_[uli],-36.00,-6.10,winter
CEN2,t_[uli],-32.30,2.20,spring
CEN2,t_[uli],-30.50,7.60,summer
CEN2,t_[uli],-53.70,-1.60,fall
MIT,p_[ul],900.19,993.97,
MIT,p_i,-99.81,-6.03,
MIT,wspd_[uli],-12.00,28.26,
MIT,t_[uli],-29.36,10.81,winter
MIT,t_[uli],-31.05,14.54,spring
MIT,t_[uli],-11.51,19.61,summer
MIT,t_[uli],-23.66,14.59,fall
TUN,p_[ul],744.83,807.00,
TUN,p_i,-255.17,-193.00,
TUN,wspd_[uli],-11.85,24.81,
TUN,t_[uli],-51.90,-3.65,winter
TUN,t_[uli],-55.90,1.40,spring
TUN,t_[uli],-31.70,8.90,summer
TUN,t_[uli],-56.40,8.10,fall
KPC_U,p_[ul],864.79,941.47,
KPC_U,p_i,-135.21,-58.53,
KPC_U,wspd_[uli],-12.00,27.73,
KPC_U,t_[uli],-51.46,-0.09,winter
KPC_U,t_[uli],-50.44,6.79,spring
KPC_U,t_[uli],-21.11,12.77,summer
KPC_U,t_[uli],-45.74,6.19,fall
UPE_L,p_[ul],940.00,1023.48,
UPE_L,p_i,-60.00,23.48,
UPE_L,wspd_[uli],-12.00,29.37,
UPE_L,t_[uli],-40.29,11.55,winter
UPE_L,t_[uli],-40.90,15.97,spring
UPE_L,t_[uli],-13.15,19.28,summer
UPE_L,t_[uli],-29.23,15.26,fall
KAN_M,p_[ul],816.70,896.46,
KAN_M,p_i,-183.30,-103.54,
KAN_M,wspd_[uli],-12.00,31.99,
KAN_M,t_[uli],-50.27,6.21,winter
KAN_M,t_[uli],-48.60,11.85,spring
KAN_M,t_[uli],-21.57,12.59,summer
KAN_M,t_[uli],-42.77,11.79,fall
QAS_A,p_[ul],838.61,919.19,
QAS_A,p_i,-161.39,-80.81,
QAS_A,wspd_[uli],-12.00,28.55,
QAS_A,t_[uli],-36.80,3.98,winter
QAS_A,t_[uli],-36.71,17.11,spring
QAS_A,t_[uli],-15.24,18.32,summer
QAS_A,t_[uli],-31.06,13.03,fall
NSE,p_[ul],694.70,784.80,
NSE,p_i,-305.30,-215.20,
NSE,wspd_[uli],-12.00,29.18,
NSE,t_[uli],-56.60,-2.40,winter
NSE,t_[uli],-53.54,-20.79,spring
NSE,t_[uli],-29.20,11.00,summer
NSE,t_[uli],-48.70,6.40,fall
UPE_U,p_[ul],852.55,932.91,
UPE_U,p_i,-147.45,-67.09,
UPE_U,wspd_[uli],-11.93,29.59,
UPE_U,t_[uli],-45.20,6.30,winter
UPE_U,t_[uli],-45.68,13.19,spring
UPE_U,t_[uli],-18.84,14.93,summer
UPE_U,t_[uli],-36.32,11.26,fall
QAS_M,p_[ul],884.52,970.17,
QAS_M,p_i,-115.48,-29.83,
QAS_M,wspd_[uli],-12.00,29.35,
QAS_M,t_[uli],-34.30,11.12,winter
QAS_M,t_[uli],-29.77,16.09,spring
QAS_M,t_[uli],-11.57,16.11,summer
QAS_M,t_[uli],-25.79,14.85,fall
QAS_L,p_[ul],924.21,1013.41,
QAS_L,p_i,-75.79,13.41,
QAS_L,wspd_[uli],-12.00,30.08,
QAS_L,t_[uli],-30.44,15.21,winter
QAS_L,t_[uli],-29.98,17.38,spring
QAS_L,t_[uli],-9.46,18.98,summer
QAS_L,t_[uli],-23.72,17.12,fall
NUK_L,p_[ul],897.14,980.03,
NUK_L,p_i,-102.86,-19.97,
NUK_L,wspd_[uli],-12.00,27.23,
NUK_L,t_[uli],-35.82,14.42,winter
NUK_L,t_[uli],-35.35,18.04,spring
NUK_L,t_[uli],-10.63,20.76,summer
NUK_L,t_[uli],-29.31,17.66,fall
NAU,p_[ul],715.60,783.20,
NAU,p_i,-284.40,-216.80,
NAU,wspd_[uli],-11.53,28.77,
NAU,t_[uli],-58.30,-2.90,winter
NAU,t_[uli],-49.70,1.50,spring
NAU,t_[uli],-34.79,7.90,summer
NAU,t_[uli],-55.70,9.50,fall
JAR,p_[ul],881.00,929.00,
JAR,p_i,-119.00,-71.00,
JAR,wspd_[uli],-11.62,29.82,
JAR,t_[uli],-14.60,13.30,summer
